len,uniqs
10,10
2,2
30,21
27,22
34,34
29,26
3,3
25,23
18,17
21,13
19,19
28,27
8,8
5,5
4,4
4,4
49,47
11,11
11,11
25,25
2,2
40,29
64,51
4,4
16,16
107,57
18,18
8,8
92,60
18,15
53,47
12,12
99,49
12,12
49,44
211,125
29,29
21,21
37,36
1,1
26,19
5,5
28,28
1,1
3,3
7,6
9,9
15,10
25,21
2,2
8,8
8,8
388,200
30,26
88,51
12,12
18,18
42,37
3,3
4,4
3,3
12,12
10,10
26,26
25,23
20,12
10,10
8,6
7,7
14,14
9,9
10,10
34,34
19,19
11,11
13,13
1,1
24,20
33,31
26,14
170,115
11,11
5,5
14,14
36,28
34,24
5,5
6,6
22,18
24,23
20,14
53,40
25,25
6,6
53,30
39,34
13,11
3,3
10,10
7,7
1,1
5,5
10,5
35,35
1,1
55,36
19,15
56,39
35,30
5,5
4,4
17,17
44,43
4,4
9,9
8,8
23,23
9,9
16,16
19,18
4,4
18,15
174,81
2,2
1,1
28,28
44,37
5,5
38,38
5,5
10,10
46,35
5,4
9,9
4,4
18,18
4,4
8,8
22,19
24,24
130,49
23,21
67,52
58,45
17,16
13,13
47,46
2,2
51,37
37,29
198,144
2,2
16,16
14,13
22,22
126,92
34,33
11,11
55,39
83,72
58,47
6,6
10,10
28,24
6,6
20,18
10,10
234,118
45,37
39,39
26,24
6,6
120,95
29,29
13,13
2,2
45,31
9,8
5,5
19,15
6,6
15,15
10,10
11,11
6,6
24,17
21,17
14,12
71,53
5,5
34,28
150,56
332,147
12,10
13,13
204,113
2,2
29,25
127,63
2,2
61,47
22,22
2,2
4,4
49,33
5,5
16,16
3,3
9,9
6,6
6,6
7,7
12,12
22,18
26,23
20,13
19,15
12,12
5,5
28,25
3,3
17,17
7,7
8,8
7,7
5,5
74,48
12,12
6,5
431,195
4,4
50,39
48,38
31,31
36,29
72,44
91,58
11,11
4,4
59,51
17,17
5,5
27,24
19,19
4,4
21,19
14,14
16,15
195,114
1,1
176,72
2,2
11,8
14,14
8,6
14,10
19,15
60,47
20,15
13,13
40,28
7,7
5,5
38,38
4,4
6,6
23,23
10,10
77,58
41,38
14,14
13,13
13,13
6,6
17,17
16,15
150,87
16,16
4,4
3,3
5,5
6,6
2,2
18,16
29,28
9,9
109,90
82,62
15,15
19,19
23,18
11,11
5,5
4,4
162,63
23,19
16,16
108,69
57,40
17,16
71,51
30,30
2,1
207,112
30,29
21,21
13,13
29,27
170,119
6,4
37,26
17,15
11,9
14,14
2,2
11,11
5,5
44,29
8,8
13,11
16,16
4,4
21,16
89,75
67,51
12,12
20,19
36,26
4,4
6,6
15,14
45,44
27,18
17,17
69,60
4,4
14,14
3,3
87,53
15,15
13,13
7,7
24,21
17,17
14,10
3,3
58,44
3,3
16,16
27,27
4,3
76,44
25,25
13,13
23,23
16,16
34,25
66,38
2,2
25,25
12,12
251,121
6,6
5,5
3,2
92,56
32,32
8,8
17,17
7,7
7,7
20,16
121,89
15,13
5,5
1,1
18,15
17,16
13,13
2,2
20,16
68,40
20,14
7,7
375,197
40,35
8,8
32,32
21,20
10,7
8,8
12,8
18,18
30,25
25,25
13,13
10,10
26,21
45,40
9,9
53,41
7,7
7,7
11,11
21,21
93,48
64,45
18,17
24,21
92,75
6,6
22,22
6,6
119,72
3,3
11,11
14,14
13,13
136,69
24,15
10,10
9,9
96,59
316,193
12,12
14,14
2,2
26,26
4,4
18,18
14,11
15,15
10,10
18,18
26,26
5,5
7,7
27,20
25,25
10,10
21,21
32,26
31,30
10,10
4,4
29,29
13,13
52,40
33,25
19,19
6,6
12,11
20,20
26,20
38,32
25,22
10,10
120,73
9,9
10,10
22,21
26,26
86,67
3,3
76,66
11,11
110,91
43,36
114,64
7,7
11,11
55,40
31,22
3,3
19,19
33,31
7,7
21,18
14,14
16,12
4,4
14,14
101,72
4,3
6,6
253,116
208,130
88,56
50,44
36,29
14,14
3,3
5,5
49,47
9,9
70,57
118,85
11,11
1,1
10,10
9,9
5,5
1,1
18,14
15,13
8,8
8,8
57,53
8,5
8,8
16,16
11,11
45,45
11,11
14,13
127,87
24,13
12,12
6,6
2,2
35,33
21,19
160,106
29,29
47,32
9,9
12,10
45,45
6,6
15,15
29,26
27,24
25,25
137,95
13,13
131,84
4,4
105,80
4,4
6,6
9,9
2,2
247,114
182,114
7,7
28,22
90,60
18,16
32,32
42,31
4,4
31,26
9,9
30,24
4,4
22,19
44,25
23,17
2,2
12,12
6,6
3,3
8,6
19,16
4,4
23,23
4,4
17,13
7,7
5,5
3,3
13,13
19,19
10,10
248,141
23,18
8,8
52,43
104,68
12,11
16,13
